Start,Finish,Active Calories (kcal),Blood Pressure (Diastolic) (mmHg),Blood Pressure (Systolic) (mmHg),Distance (mi),Heart Rate (count/min),Steps
19-Mar-2019 00:00,20-Mar-2019 00:00,441.199,0.0,0.0,1.81295789850096,117.0,3634.0
20-Mar-2019 00:00,21-Mar-2019 00:00,408.177,0.0,0.0,1.70660430910887,125.0,3443.0
21-Mar-2019 00:00,22-Mar-2019 00:00,543.643,0.0,0.0,2.05394414992725,113.0,4101.0
22-Mar-2019 00:00,23-Mar-2019 00:00,274.662,0.0,0.0,2.17564345664861,108.0,4436.0
23-Mar-2019 00:00,24-Mar-2019 00:00,616.99,0.0,0.0,4.50438922491738,119.0,9289.0
24-Mar-2019 00:00,25-Mar-2019 00:00,2.534,0.0,0.0,0.0070355074661028,0.0,15.0
25-Mar-2019 00:00,26-Mar-2019 00:00,410.78,0.0,0.0,1.86925869412065,111.0,3827.0
26-Mar-2019 00:00,27-Mar-2019 00:00,359.447,0.0,0.0,1.3731797704269,102.0,2768.0
27-Mar-2019 00:00,28-Mar-2019 00:00,456.666,0.0,0.0,2.44474015726709,101.0,4946.0
28-Mar-2019 00:00,29-Mar-2019 00:00,619.996,0.0,0.0,2.31327528840665,124.0,4643.0
29-Mar-2019 00:00,30-Mar-2019 00:00,712.193036663182,0.0,0.0,5.2050651618803,114.0,10647.7825416851
30-Mar-2019 00:00,31-Mar-2019 00:00,792.795006641485,0.0,0.0,5.39076194544893,122.0,10936.2174583149
31-Mar-2019 00:00,01-Apr-2019 00:00,510.699956695333,0.0,0.0,3.40305539931936,141.0,7055.0
01-Apr-2019 00:00,02-Apr-2019 00:00,0.0,0.0,0.0,0.0,0.0,0.0
02-Apr-2019 00:00,03-Apr-2019 00:00,368.629,0.0,0.0,2.33574096091514,120.0,4693.0
03-Apr-2019 00:00,04-Apr-2019 00:00,368.191,0.0,0.0,1.61501081689612,124.0,3265.0
04-Apr-2019 00:00,05-Apr-2019 00:00,411.24,0.0,0.0,1.58586238021076,101.0,3222.0
05-Apr-2019 00:00,06-Apr-2019 00:00,809.982000000001,0.0,0.0,6.57170661865698,120.0,13322.0
06-Apr-2019 00:00,07-Apr-2019 00:00,866.165604653606,0.0,0.0,4.87676561869306,128.0,10087.0
07-Apr-2019 00:00,08-Apr-2019 00:00,528.755395346394,0.0,0.0,3.48367470899586,123.0,7194.58553843269
08-Apr-2019 00:00,09-Apr-2019 00:00,0.0,0.0,0.0,0.00868155072242736,0.0,12.0
09-Apr-2019 00:00,10-Apr-2019 00:00,441.024,0.0,0.0,1.61339548637397,111.0,3228.0
10-Apr-2019 00:00,11-Apr-2019 00:00,473.805,0.0,0.0,1.88272202730751,117.0,3725.0
11-Apr-2019 00:00,12-Apr-2019 00:00,515.093,0.0,0.0,1.94687148676919,110.0,3868.0
12-Apr-2019 00:00,13-Apr-2019 00:00,718.188370593667,0.0,0.0,3.50798623483429,113.0,7091.0
13-Apr-2019 00:00,14-Apr-2019 00:00,165.453629406332,0.0,0.0,0.988385792038283,125.0,2056.0
